user_id,email,password_hash,first_name,last_name,logged_in_at,archived_at,created_at,updated_at
3407021f-bedf-44e4-b3af-9dc9c51b1df5,customer@dialexa.com,"$argon2i$v=19$m=4096,t=3,p=1$lsWPIVwQ61Q0RnegR8G5Bg$CUjC1prXCoaYxhNXUXr43XJNxzsvGjB6IiUQGUMPbK4",Joe,Customer,NULL,NULL,2017-03-09T16:18:00,2017-03-09T16:18:00
b01b20d6-ce3c-428c-a3c5-427e8c16bb24,admin@fastlane.car,"$argon2i$v=19$m=4096,t=3,p=1$p7AJcYINxdIpZ+hDO7r9XQ$hrVcZ02ygcyIEZX7By95KkU6702d9mHz3Ex8BFExIEk",Administrator,Superuser,NULL,NULL,2017-03-09T16:18:00,2017-03-09T16:18:00
dd77e237-3d8b-413d-b373-5742db67c6ed,em@fastlane.car,"$argon2i$v=19$m=4096,t=3,p=1$p7AJcYINxdIpZ+hDO7r9XQ$hrVcZ02ygcyIEZX7By95KkU6702d9mHz3Ex8BFExIEk",Engagement,Manager,NULL,NULL,2017-03-09T16:18:00,2017-03-09T16:18:00
1accacc3-3a6f-48f3-8c7d-0001ee351817,marilou+dealer1@dialexa.com,"$argon2i$v=19$m=4096,t=3,p=1$QukYb1gJYquJEmXw40luIg$aUagUqZadXaYLBfZykt9u1l27i6Vr4EgmaKV75tQoNo",Bob,Dealer,NULL,NULL,2017-03-09T16:18:00,2017-03-09T16:18:00
93d46522-f53e-402f-9985-7833ab847790,mike@dialexa.com,"$argon2i$v=19$m=4096,t=3,p=1$YSdebQgGkOxslKOkixzetA$9AfBV8p0Qd1E/qdZcYjghl1qLRYR6XBcQcU0w0c3/n8",Mike,Mclaren,NULL,NULL,2017-03-09T16:18:00,2017-03-09T16:18:00
0b2e69f8-cfa7-4ead-8d47-c138e3a50c6a,mattmattmatt@matt.com,"$argon2i$v=19$m=4096,t=3,p=1$bp/YcmR0FdajDHO43oqcVA$2Le5JWprBc4rPpUvRJ3m2NfGj+zJI6VqqRUynKxqIIM",Mike,Mclaren,NULL,NULL,2017-03-09T16:18:00,2017-03-09T16:18:00
f7059021-dfc0-4ffd-81d6-9d46d2e2c5b6,marilou+customer1@dialexa.com,"$argon2i$v=19$m=4096,t=3,p=1$lsWPIVwQ61Q0RnegR8G5Bg$CUjC1prXCoaYxhNXUXr43XJNxzsvGjB6IiUQGUMPbK4",Jeff,Gordon,NULL,NULL,2017-03-09T16:18:00,2017-03-09T16:18:00
c06fce0d-036b-452b-8352-23cfbee39c03,marilou+customer2@dialexa.com,"$argon2i$v=19$m=4096,t=3,p=1$lsWPIVwQ61Q0RnegR8G5Bg$CUjC1prXCoaYxhNXUXr43XJNxzsvGjB6IiUQGUMPbK4",Chuck,Norris,NULL,NULL,2017-03-09T16:18:00,2017-03-09T16:18:00
bcdd73d7-faa5-4278-9b06-f00bd7c35896,marilou+customer3@dialexa.com,"$argon2i$v=19$m=4096,t=3,p=1$lsWPIVwQ61Q0RnegR8G5Bg$CUjC1prXCoaYxhNXUXr43XJNxzsvGjB6IiUQGUMPbK4",Jackie,Chan,NULL,NULL,2017-03-09T16:18:00,2017-03-09T16:18:00
ca87b70a-41c8-4c59-b073-594535ea881b,marilou+dealer2@dialexa.com,"$argon2i$v=19$m=4096,t=3,p=1$lsWPIVwQ61Q0RnegR8G5Bg$CUjC1prXCoaYxhNXUXr43XJNxzsvGjB6IiUQGUMPbK4",Doug,Dealer,NULL,NULL,2017-03-09T16:18:00,2017-03-09T16:18:00
713ebde5-533f-40d4-992f-633979aaa3b3,samier.notgonnaworkhereanymore@initech.net,"$argon2i$v=19$m=4096,t=3,p=1$lsWPIVwQ61Q0RnegR8G5Bg$CUjC1prXCoaYxhNXUXr43XJNxzsvGjB6IiUQGUMPbK4",Michael,Bolton,NULL,2017-03-09T16:18:00,2017-03-09T16:18:00,2017-03-09T16:18:00
6e7fb723-93b5-4570-a4de-1a8d9d0631c7,system@fastlane.car,"$argon2i$v=19$m=4096,t=3,p=1$lsWPIVwQ61Q0RnegR8G5Bg$CUjC1prXCoaYxhNXUXr43XJNxzsvGjB6IiUQGUMPbK4",System,System,NULL,NULL,2017-03-09T16:18:00,2017-03-09T16:18:00
